Date : 2025-06-16 01:04:21
Directory : c:\Users\Kozy\Documents\princecomparison_dom
Total : 122 files,  32575 codes, 321 comments, 1119 blanks, all 34015 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         14 |     24,471 |         26 |         16 |     24,513 |
| TypeScript JSX     |         24 |      3,131 |         65 |        329 |      3,525 |
| Java               |         39 |      1,765 |         40 |        394 |      2,199 |
| toml               |          1 |      1,192 |          0 |         84 |      1,276 |
| TypeScript         |          8 |        685 |         62 |         33 |        780 |
| Batch              |          4 |        300 |         52 |         52 |        404 |
| XML                |          3 |        239 |          0 |          9 |        248 |
| Python             |          7 |        232 |         39 |         82 |        353 |
| JavaScript         |          5 |        148 |          1 |          6 |        155 |
| Markdown           |          3 |        148 |          0 |         72 |        220 |
| YAML               |          3 |         87 |          1 |         10 |         98 |
| PostCSS            |          1 |         66 |          1 |         19 |         86 |
| JSON with Comments |          3 |         42 |          0 |          2 |         44 |
| Ini                |          1 |         26 |          0 |          1 |         27 |
| HTML               |          1 |         18 |          0 |          0 |         18 |
| Java Properties    |          4 |         13 |         33 |          5 |         51 |
| Makefile           |          1 |         12 |          1 |          5 |         18 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |        122 |     32,575 |        321 |      1,119 |     34,015 |
| . (Files)                                                                                                                                        |         19 |      6,700 |         58 |         53 |      6,811 |
| .mvn                                                                                                                                             |          1 |          3 |         16 |          1 |         20 |
| .mvn\wrapper                                                                                                                                     |          1 |          3 |         16 |          1 |         20 |
| dataconnect                                                                                                                                      |          2 |         17 |          1 |          2 |         20 |
| dataconnect (Files)                                                                                                                              |          1 |         11 |          1 |          1 |         13 |
| dataconnect\connector                                                                                                                            |          1 |          6 |          0 |          1 |          7 |
| findr                                                                                                                                            |          6 |      9,136 |         14 |          9 |      9,159 |
| findr (Files)                                                                                                                                    |          5 |      9,134 |          0 |          5 |      9,139 |
| findr\src                                                                                                                                        |          1 |          2 |         14 |          4 |         20 |
